StarLightCurves,Euclidean: 0.845070422535,PRDC_BASE: 0.908694,RECOMPRESSION: 0.913307,ORIGINAL_NMD: 0.892788,WEIGHTING_NMD: 0.888902
Meat,Euclidean: 0.916666666667,PRDC_BASE: 0.866667,RECOMPRESSION: 0.783333,ORIGINAL_NMD: 0.95,WEIGHTING_NMD: 0.966667
FacesUCR,Euclidean: 0.621951219512,PRDC_BASE: 0.320976,RECOMPRESSION: 0.338537,ORIGINAL_NMD: 0.302927,WEIGHTING_NMD: 0.29561
NonInvasiveFatalECG_Thorax1,Euclidean: 0.825954198473,PRDC_BASE: 0.571501,RECOMPRESSION: 0.570483,ORIGINAL_NMD: 0.663104,WEIGHTING_NMD: 0.662595
WormsTwoClass,Euclidean: 0.602209944751,PRDC_BASE: 0.546961,RECOMPRESSION: 0.58011,ORIGINAL_NMD: 0.635359,WEIGHTING_NMD: 0.629834
MiddlePhalanxOutlineAgeGroup,Euclidean: 0.765,PRDC_BASE: 0.4675,RECOMPRESSION: 0.76,ORIGINAL_NMD: 0.7425,WEIGHTING_NMD: 0.7475
NonInvasiveFatalECG_Thorax2,Euclidean: 0.886513994911,PRDC_BASE: 0.604071,RECOMPRESSION: 0.578626,ORIGINAL_NMD: 0.736387,WEIGHTING_NMD: 0.709415
Plane,Euclidean: 0.961904761905,PRDC_BASE: 0.809524,RECOMPRESSION: 0.752381,ORIGINAL_NMD: 0.942857,WEIGHTING_NMD: 0.961905
ECG5000,Euclidean: 0.939111111111,PRDC_BASE: 0.895556,RECOMPRESSION: 0.905111,ORIGINAL_NMD: 0.913111,WEIGHTING_NMD: 0.915333
SmallKitchenAppliances,Euclidean: 0.365333333333,PRDC_BASE: 0.56,RECOMPRESSION: 0.632,ORIGINAL_NMD: 0.613333,WEIGHTING_NMD: 0.557333
TwoLeadECG,Euclidean: 0.597014925373,PRDC_BASE: 0.582968,RECOMPRESSION: 0.625988,ORIGINAL_NMD: 0.71115,WEIGHTING_NMD: 0.725198
Lighting7,Euclidean: 0.575342465753,PRDC_BASE: 0.465753,RECOMPRESSION: 0.452055,ORIGINAL_NMD: 0.547945,WEIGHTING_NMD: 0.506849
Cricket_X,Euclidean: 0.482051282051,PRDC_BASE: 0.428205,RECOMPRESSION: 0.353846,ORIGINAL_NMD: 0.423077,WEIGHTING_NMD: 0.407692
WordsSynonyms,Euclidean: 0.547021943574,PRDC_BASE: 0.241379,RECOMPRESSION: 0.272727,ORIGINAL_NMD: 0.319749,WEIGHTING_NMD: 0.31348
Coffee,Euclidean: 0.964285714286,PRDC_BASE: 0.607143,RECOMPRESSION: 0.642857,ORIGINAL_NMD: 0.714286,WEIGHTING_NMD: 0.75
Symbols,Euclidean: 0.733668341709,PRDC_BASE: 0.236181,RECOMPRESSION: 0.268342,ORIGINAL_NMD: 0.876382,WEIGHTING_NMD: 0.876382
BirdChicken,Euclidean: 0.55,PRDC_BASE: 0.65,RECOMPRESSION: 0.65,ORIGINAL_NMD: 0.75,WEIGHTING_NMD: 0.7
MiddlePhalanxOutlineCorrect,Euclidean: 0.76,PRDC_BASE: 0.54,RECOMPRESSION: 0.585,ORIGINAL_NMD: 0.68,WEIGHTING_NMD: 0.681667
ProximalPhalanxOutlineCorrect,Euclidean: 0.841924398625,PRDC_BASE: 0.66323,RECOMPRESSION: 0.628866,ORIGINAL_NMD: 0.793814,WEIGHTING_NMD: 0.776632
ToeSegmentation1,Euclidean: 0.614035087719,PRDC_BASE: 0.710526,RECOMPRESSION: 0.72807,ORIGINAL_NMD: 0.767544,WEIGHTING_NMD: 0.723684
DistalPhalanxOutlineCorrect,Euclidean: 0.763333333333,PRDC_BASE: 0.625,RECOMPRESSION: 0.628333,ORIGINAL_NMD: 0.748333,WEIGHTING_NMD: 0.745
Beef,Euclidean: 0.5,PRDC_BASE: 0.333333,RECOMPRESSION: 0.333333,ORIGINAL_NMD: 0.4,WEIGHTING_NMD: 0.433333
