StarLightCurves, PRDC_BASE: 0.878861, RECOMPRESSION: 0.892424, ORIGINAL_NMD: 0.873482, WEIGHTING_NMD: 0.872025
Meat, PRDC_BASE: 0.743333, RECOMPRESSION: 0.735, ORIGINAL_NMD: 0.916667, WEIGHTING_NMD: 0.866667
FacesUCR, PRDC_BASE: 0.293366, RECOMPRESSION: 0.296732, ORIGINAL_NMD: 0.277073, WEIGHTING_NMD: 0.280488
NonInvasiveFatalECG_Thorax1, PRDC_BASE: 0.559898, RECOMPRESSION: 0.53257, ORIGINAL_NMD: 0.617812, WEIGHTING_NMD: 0.602545
WormsTwoClass, PRDC_BASE: 0.569613, RECOMPRESSION: 0.581768, ORIGINAL_NMD: 0.651934, WEIGHTING_NMD: 0.657459
MiddlePhalanxOutlineAgeGroup, PRDC_BASE: 0.56425, RECOMPRESSION: 0.727, ORIGINAL_NMD: 0.705, WEIGHTING_NMD: 0.7075
NonInvasiveFatalECG_Thorax2, PRDC_BASE: 0.603104, RECOMPRESSION: 0.577303, ORIGINAL_NMD: 0.688041, WEIGHTING_NMD: 0.657506
Plane, PRDC_BASE: 0.800952, RECOMPRESSION: 0.78, ORIGINAL_NMD: 0.942857, WEIGHTING_NMD: 0.952381
ECG5000, ERROR, ORIGINAL_NMD: 0.888222, WEIGHTING_NMD: 0.891778
SmallKitchenAppliances, PRDC_BASE: 0.541333, RECOMPRESSION: 0.567467, ORIGINAL_NMD: 0.56, WEIGHTING_NMD: 0.541333
TwoLeadECG, PRDC_BASE: 0.592011, RECOMPRESSION: 0.614574, ORIGINAL_NMD: 0.716418, WEIGHTING_NMD: 0.748025
Lighting7, PRDC_BASE: 0.427397, RECOMPRESSION: 0.428767, ORIGINAL_NMD: 0.465753, WEIGHTING_NMD: 0.520548
Cricket_X, PRDC_BASE: 0.381538, RECOMPRESSION: 0.360769, ORIGINAL_NMD: 0.4, WEIGHTING_NMD: 0.364103
WordsSynonyms, ERROR, ORIGINAL_NMD: 0.282132, WEIGHTING_NMD: 0.286834
Coffee, PRDC_BASE: 0.603571, RECOMPRESSION: 0.582143, ORIGINAL_NMD: 0.642857, WEIGHTING_NMD: 0.678571
Symbols, PRDC_BASE: 0.754171, RECOMPRESSION: 0.748945, ORIGINAL_NMD: 0.887437, WEIGHTING_NMD: 0.891457
BirdChicken, PRDC_BASE: 0.78, RECOMPRESSION: 0.815, ORIGINAL_NMD: 0.85, WEIGHTING_NMD: 0.9
MiddlePhalanxOutlineCorrect, PRDC_BASE: 0.555167, RECOMPRESSION: 0.5365, ORIGINAL_NMD: 0.658333, WEIGHTING_NMD: 0.663333
ProximalPhalanxOutlineCorrect, PRDC_BASE: 0.656014, RECOMPRESSION: 0.63677, ORIGINAL_NMD: 0.704467, WEIGHTING_NMD: 0.738832
ToeSegmentation1, PRDC_BASE: 0.659649, RECOMPRESSION: 0.648684, ORIGINAL_NMD: 0.701754, WEIGHTING_NMD: 0.70614
DistalPhalanxOutlineCorrect, PRDC_BASE: 0.598667, RECOMPRESSION: 0.608, ORIGINAL_NMD: 0.715, WEIGHTING_NMD: 0.693333
Beef, PRDC_BASE: 0.37, RECOMPRESSION: 0.383333, ORIGINAL_NMD: 0.466667, WEIGHTING_NMD: 0.466667
Cricket_Z, PRDC_BASE: 0.379744, RECOMPRESSION: 0.357436, ORIGINAL_NMD: 0.435897, WEIGHTING_NMD: 0.435897
SonyAIBORobotSurfaceII, PRDC_BASE: 0.595488, RECOMPRESSION: 0.61511, ORIGINAL_NMD: 0.651626, WEIGHTING_NMD: 0.650577
MoteStrain, PRDC_BASE: 0.785942, RECOMPRESSION: 0.799042, ORIGINAL_NMD: 0.790735, WEIGHTING_NMD: 0.817093
Car, PRDC_BASE: 0.45, RECOMPRESSION: 0.518333, ORIGINAL_NMD: 0.583333, WEIGHTING_NMD: 0.516667
InsectWingbeatSound, PRDC_BASE: 0.16702, RECOMPRESSION: 0.177828, ORIGINAL_NMD: 0.181818, WEIGHTING_NMD: 0.182323
ChlorineConcentration, PRDC_BASE: 0.500312, RECOMPRESSION: 0.515469, ORIGINAL_NMD: 0.604948, WEIGHTING_NMD: 0.608594
DistalPhalanxTW, PRDC_BASE: 0.60875, RECOMPRESSION: 0.6505, ORIGINAL_NMD: 0.715, WEIGHTING_NMD: 0.69
uWaveGestureLibrary_Z, PRDC_BASE: 0.392993, RECOMPRESSION: 0.441876, ORIGINAL_NMD: 0.517588, WEIGHTING_NMD: 0.514517
Haptics, PRDC_BASE: 0.248701, RECOMPRESSION: 0.250974, ORIGINAL_NMD: 0.350649, WEIGHTING_NMD: 0.331169
ProximalPhalanxOutlineAgeGroup, PRDC_BASE: 0.72439, RECOMPRESSION: 0.736098, ORIGINAL_NMD: 0.780488, WEIGHTING_NMD: 0.780488
FaceFour, PRDC_BASE: 0.538636, RECOMPRESSION: 0.596591, ORIGINAL_NMD: 0.488636, WEIGHTING_NMD: 0.5
Earthquakes, PRDC_BASE: 0.539752, RECOMPRESSION: 0.710248, ORIGINAL_NMD: 0.667702, WEIGHTING_NMD: 0.661491
Ham, PRDC_BASE: 0.520952, RECOMPRESSION: 0.47619, ORIGINAL_NMD: 0.52381, WEIGHTING_NMD: 0.52381
Gun_Point, PRDC_BASE: 0.717333, RECOMPRESSION: 0.787333, ORIGINAL_NMD: 0.926667, WEIGHTING_NMD: 0.92
