StarLightCurves, PRDC_BASE: 0.857759, RECOMPRESSION: 0.880646, 
Meat, PRDC_BASE: 0.556667, RECOMPRESSION: 0.6, 
FacesUCR, PRDC_BASE: 0.381756, RECOMPRESSION: 0.373707, 
NonInvasiveFatalECG_Thorax1, PRDC_BASE: 0.518473, RECOMPRESSION: 0.465038, 
WormsTwoClass, PRDC_BASE: 0.582873, RECOMPRESSION: 0.60442, 
MiddlePhalanxOutlineAgeGroup, PRDC_BASE: 0.7195, RECOMPRESSION: 0.72175, 
NonInvasiveFatalECG_Thorax2, PRDC_BASE: 0.566768, RECOMPRESSION: 0.532875, 
Plane, PRDC_BASE: 0.900952, RECOMPRESSION: 0.888571, 
ECG5000, 
SmallKitchenAppliances, PRDC_BASE: 0.5048, RECOMPRESSION: 0.567733, 
TwoLeadECG, PRDC_BASE: 0.686128, RECOMPRESSION: 0.760843, 
Lighting7, PRDC_BASE: 0.483562, RECOMPRESSION: 0.512329, 
Cricket_X, PRDC_BASE: 0.409487, RECOMPRESSION: 0.403077, 
WordsSynonyms, 
Coffee, PRDC_BASE: 0.617857, RECOMPRESSION: 0.628571, 
Symbols, PRDC_BASE: 0.569447, RECOMPRESSION: 0.659497, 
BirdChicken, PRDC_BASE: 0.745, RECOMPRESSION: 0.765, 
MiddlePhalanxOutlineCorrect, PRDC_BASE: 0.529667, RECOMPRESSION: 0.529667, 
ProximalPhalanxOutlineCorrect, PRDC_BASE: 0.675258, RECOMPRESSION: 0.676289, 
ToeSegmentation1, PRDC_BASE: 0.641228, RECOMPRESSION: 0.660526, 
DistalPhalanxOutlineCorrect, PRDC_BASE: 0.660667, RECOMPRESSION: 0.664167, 
Beef, PRDC_BASE: 0.45, RECOMPRESSION: 0.443333, 
Cricket_Z, PRDC_BASE: 0.375385, RECOMPRESSION: 0.373077, 
SonyAIBORobotSurfaceII, PRDC_BASE: 0.570619, RECOMPRESSION: 0.56957, 
MoteStrain, PRDC_BASE: 0.653275, RECOMPRESSION: 0.671006, 
Car, PRDC_BASE: 0.41, RECOMPRESSION: 0.43, 
InsectWingbeatSound, PRDC_BASE: 0.158737, RECOMPRESSION: 0.168586, 
ChlorineConcentration, PRDC_BASE: 0.498958, RECOMPRESSION: 0.504219, 
DistalPhalanxTW, PRDC_BASE: 0.69075, RECOMPRESSION: 0.692, 
uWaveGestureLibrary_Z, PRDC_BASE: 0.36971, RECOMPRESSION: 0.389978, 
Haptics, PRDC_BASE: 0.238312, RECOMPRESSION: 0.254545, 
ProximalPhalanxOutlineAgeGroup, PRDC_BASE: 0.746829, RECOMPRESSION: 0.734634, 
FaceFour, PRDC_BASE: 0.510227, RECOMPRESSION: 0.520455, 
Earthquakes, PRDC_BASE: 0.730435, RECOMPRESSION: 0.731366, 
Ham, PRDC_BASE: 0.480952, RECOMPRESSION: 0.484762, 
Gun_Point, PRDC_BASE: 0.788, RECOMPRESSION: 0.792667, 
Cricket_Y, PRDC_BASE: 0.359487, RECOMPRESSION: 0.352564, 
Two_Patterns, PRDC_BASE: 0.265575, RECOMPRESSION: 0.274525, 
yoga, PRDC_BASE: 0.578233, RECOMPRESSION: 0.579867, 
DistalPhalanxOutlineAgeGroup, PRDC_BASE: 0.72675, RECOMPRESSION: 0.74975, 
Computers, PRDC_BASE: 0.6204, RECOMPRESSION: 0.6288, 
ECGFiveDays, PRDC_BASE: 0.63194, RECOMPRESSION: 0.673635, 
Herring, PRDC_BASE: 0.5625, RECOMPRESSION: 0.496875, 
DiatomSizeReduction, 
ECG200, PRDC_BASE: 0.6, RECOMPRESSION: 0.652, 
PhalangesOutlinesCorrect, PRDC_BASE: 0.604779, RECOMPRESSION: 0.6, 
ShapeletSim, PRDC_BASE: 0.513333, RECOMPRESSION: 0.532222, 
Trace, PRDC_BASE: 0.823, RECOMPRESSION: 0.891, 
ElectricDevices, PRDC_BASE: 0.56138, RECOMPRESSION: 0.607444, 
LargeKitchenAppliances, PRDC_BASE: 0.6608, RECOMPRESSION: 0.600267, 
SonyAIBORobotSurface, PRDC_BASE: 0.63827, RECOMPRESSION: 0.599002, 
MiddlePhalanxTW, PRDC_BASE: 0.551378, RECOMPRESSION: 0.558647, 
uWaveGestureLibrary_Y, PRDC_BASE: 0.303685, RECOMPRESSION: 0.324539, 
InlineSkate, PRDC_BASE: 0.277273, RECOMPRESSION: 0.258545, 
CBF, PRDC_BASE: 0.641111, RECOMPRESSION: 0.638889, 
Strawberry, PRDC_BASE: 0.692496, RECOMPRESSION: 0.714029, 
Adiac, PRDC_BASE: 0.458824, RECOMPRESSION: 0.389514, 
uWaveGestureLibrary_X, PRDC_BASE: 0.351954, RECOMPRESSION: 0.36971, 
Wine, PRDC_BASE: 0.468519, RECOMPRESSION: 0.5, 
FISH, PRDC_BASE: 0.237143, RECOMPRESSION: 0.236571, 
FordB, PRDC_BASE: 0.614769, RECOMPRESSION: 0.634763, 
UWaveGestureLibraryAll, PRDC_BASE: 0.278615, RECOMPRESSION: 0.332077, 
ArrowHead, PRDC_BASE: 0.597143, RECOMPRESSION: 0.582286, 
FordA, PRDC_BASE: 0.629436, RECOMPRESSION: 0.65268, 
Worms, PRDC_BASE: 0.397238, RECOMPRESSION: 0.446961, 
RefrigerationDevices, PRDC_BASE: 0.445333, RECOMPRESSION: 0.475733, 
ShapesAll, PRDC_BASE: 0.6055, RECOMPRESSION: 0.597167, 
OliveOil, PRDC_BASE: 0.566667, RECOMPRESSION: 0.583333, 
wafer, PRDC_BASE: 0.950032, RECOMPRESSION: 0.95816, 
MALLAT, 
