StarLightCurves, PRDC_BASE: 0.874381, RECOMPRESSION: 0.89552, , ORIGINAL_NMD: 0.849199, WEIGHTING_NMD: 0.857212
Meat, PRDC_BASE: 0.591667, RECOMPRESSION: 0.568333, , ORIGINAL_NMD: 0.9, WEIGHTING_NMD: 0.933333
FacesUCR, PRDC_BASE: 0.413512, RECOMPRESSION: 0.408195, , ORIGINAL_NMD: 0.45561, WEIGHTING_NMD: 0.469756
NonInvasiveFatalECG_Thorax1, PRDC_BASE: 0.519084, RECOMPRESSION: 0.474046, , ORIGINAL_NMD: 0.578626, WEIGHTING_NMD: 0.558779
WormsTwoClass, PRDC_BASE: 0.587845, RECOMPRESSION: 0.607182, , ORIGINAL_NMD: 0.668508, WEIGHTING_NMD: 0.651934
MiddlePhalanxOutlineAgeGroup, PRDC_BASE: 0.75475, RECOMPRESSION: 0.753, , ORIGINAL_NMD: 0.7825, WEIGHTING_NMD: 0.7725
NonInvasiveFatalECG_Thorax2, PRDC_BASE: 0.55313, RECOMPRESSION: 0.52743, , ORIGINAL_NMD: 0.647328, WEIGHTING_NMD: 0.651908
Plane, PRDC_BASE: 0.892381, RECOMPRESSION: 0.850476, , ORIGINAL_NMD: 0.942857, WEIGHTING_NMD: 0.952381
ECG5000, class_size: 2, , , ORIGINAL_NMD: 0.922667, WEIGHTING_NMD: 0.924889
SmallKitchenAppliances, PRDC_BASE: 0.5696, RECOMPRESSION: 0.613867, , ORIGINAL_NMD: 0.552, WEIGHTING_NMD: 0.576
TwoLeadECG, PRDC_BASE: 0.72309, RECOMPRESSION: 0.760843, , ORIGINAL_NMD: 0.875329, WEIGHTING_NMD: 0.809482
Lighting7, PRDC_BASE: 0.458904, RECOMPRESSION: 0.472603, , ORIGINAL_NMD: 0.589041, WEIGHTING_NMD: 0.534247
Cricket_X, PRDC_BASE: 0.407692, RECOMPRESSION: 0.403077, , ORIGINAL_NMD: 0.453846, WEIGHTING_NMD: 0.484615
WordsSynonyms, class_size: 2, , , ORIGINAL_NMD: 0.34953, WEIGHTING_NMD: 0.338558
Coffee, PRDC_BASE: 0.667857, RECOMPRESSION: 0.671429, , ORIGINAL_NMD: 0.75, WEIGHTING_NMD: 0.821429
Symbols, PRDC_BASE: 0.266533, RECOMPRESSION: 0.292362, , ORIGINAL_NMD: 0.653266, WEIGHTING_NMD: 0.658291
BirdChicken, PRDC_BASE: 0.71, RECOMPRESSION: 0.74, , ORIGINAL_NMD: 0.85, WEIGHTING_NMD: 0.8
MiddlePhalanxOutlineCorrect, PRDC_BASE: 0.555167, RECOMPRESSION: 0.557167, , ORIGINAL_NMD: 0.606667, WEIGHTING_NMD: 0.591667
ProximalPhalanxOutlineCorrect, PRDC_BASE: 0.708591, RECOMPRESSION: 0.705498, , ORIGINAL_NMD: 0.735395, WEIGHTING_NMD: 0.735395
ToeSegmentation1, PRDC_BASE: 0.670614, RECOMPRESSION: 0.695175, , ORIGINAL_NMD: 0.754386, WEIGHTING_NMD: 0.780702
