StarLightCurves, PRDC_BASE: 0.859661, RECOMPRESSION: 0.881322, 
Meat, PRDC_BASE: 0.569444, RECOMPRESSION: 0.586111, 
FacesUCR, PRDC_BASE: 0.384472, RECOMPRESSION: 0.378472, 
NonInvasiveFatalECG_Thorax1, PRDC_BASE: 0.512621, RECOMPRESSION: 0.467668, 
WormsTwoClass, PRDC_BASE: 0.572928, RECOMPRESSION: 0.602578, 
MiddlePhalanxOutlineAgeGroup, PRDC_BASE: 0.720417, RECOMPRESSION: 0.72475, 
NonInvasiveFatalECG_Thorax2, PRDC_BASE: 0.568804, RECOMPRESSION: 0.532417, 
Plane, PRDC_BASE: 0.909524, RECOMPRESSION: 0.879048, 
ECG5000, ERROR, 
SmallKitchenAppliances, PRDC_BASE: 0.5144, RECOMPRESSION: 0.567822, 
TwoLeadECG, PRDC_BASE: 0.687591, RECOMPRESSION: 0.759819, 
Lighting7, PRDC_BASE: 0.473516, RECOMPRESSION: 0.525571, 
Cricket_X, PRDC_BASE: 0.406581, RECOMPRESSION: 0.400855, 
WordsSynonyms, ERROR, 
Coffee, PRDC_BASE: 0.62619, RECOMPRESSION: 0.597619, 
Symbols, PRDC_BASE: 0.571524, RECOMPRESSION: 0.678358, 
BirdChicken, PRDC_BASE: 0.758333, RECOMPRESSION: 0.796667, 
MiddlePhalanxOutlineCorrect, PRDC_BASE: 0.539222, RECOMPRESSION: 0.536222, 
ProximalPhalanxOutlineCorrect, PRDC_BASE: 0.671249, RECOMPRESSION: 0.669989, 
ToeSegmentation1, PRDC_BASE: 0.645468, RECOMPRESSION: 0.662281, 
DistalPhalanxOutlineCorrect, PRDC_BASE: 0.641556, RECOMPRESSION: 0.642222, 
Beef, PRDC_BASE: 0.432222, RECOMPRESSION: 0.453333, 
Cricket_Z, PRDC_BASE: 0.376667, RECOMPRESSION: 0.369573, 
SonyAIBORobotSurfaceII, PRDC_BASE: 0.55425, RECOMPRESSION: 0.553795, 
MoteStrain, PRDC_BASE: 0.680485, RECOMPRESSION: 0.704207, 
Car, PRDC_BASE: 0.407778, RECOMPRESSION: 0.405556, 
InsectWingbeatSound, PRDC_BASE: 0.161633, RECOMPRESSION: 0.172374, 
ChlorineConcentration, PRDC_BASE: 0.508064, RECOMPRESSION: 0.502873, 
DistalPhalanxTW, PRDC_BASE: 0.676917, RECOMPRESSION: 0.678417, 
uWaveGestureLibrary_Z, PRDC_BASE: 0.365494, RECOMPRESSION: 0.389922, 
Haptics, PRDC_BASE: 0.245238, RECOMPRESSION: 0.25, 
ProximalPhalanxOutlineAgeGroup, PRDC_BASE: 0.723902, RECOMPRESSION: 0.748943, 
FaceFour, PRDC_BASE: 0.503788, RECOMPRESSION: 0.510985, 
Earthquakes, PRDC_BASE: 0.711594, RECOMPRESSION: 0.707867, 
Ham, PRDC_BASE: 0.512698, RECOMPRESSION: 0.469206, 
Gun_Point, PRDC_BASE: 0.780667, RECOMPRESSION: 0.777778, 
Cricket_Y, PRDC_BASE: 0.370855, RECOMPRESSION: 0.358718, 
Two_Patterns, PRDC_BASE: 0.265883, RECOMPRESSION: 0.273383, 
yoga, PRDC_BASE: 0.582422, RECOMPRESSION: 0.585522, 
DistalPhalanxOutlineAgeGroup, PRDC_BASE: 0.72975, RECOMPRESSION: 0.74625, 
Computers, PRDC_BASE: 0.602933, RECOMPRESSION: 0.6296, 
ECGFiveDays, PRDC_BASE: 0.633488, RECOMPRESSION: 0.664266, 
Herring, PRDC_BASE: 0.553125, RECOMPRESSION: 0.492188, 
DiatomSizeReduction, ERROR, 
ECG200, PRDC_BASE: 0.632, RECOMPRESSION: 0.641, 
PhalangesOutlinesCorrect, PRDC_BASE: 0.599029, RECOMPRESSION: 0.597164, 
ShapeletSim, PRDC_BASE: 0.53, RECOMPRESSION: 0.545, 
Trace, PRDC_BASE: 0.829667, RECOMPRESSION: 0.877333, 
ElectricDevices, PRDC_BASE: 0.567527, RECOMPRESSION: 0.613781, 
LargeKitchenAppliances, PRDC_BASE: 0.664978, RECOMPRESSION: 0.614489, 
SonyAIBORobotSurface, PRDC_BASE: 0.657626, RECOMPRESSION: 0.624792, 
MiddlePhalanxTW, PRDC_BASE: 0.5599, RECOMPRESSION: 0.56249, 
uWaveGestureLibrary_Y, PRDC_BASE: 0.309855, RECOMPRESSION: 0.327192, 
InlineSkate, PRDC_BASE: 0.276545, RECOMPRESSION: 0.251879, 
CBF, PRDC_BASE: 0.637778, RECOMPRESSION: 0.638259, 
Strawberry, PRDC_BASE: 0.686243, RECOMPRESSION: 0.708483, 
Adiac, PRDC_BASE: 0.463342, RECOMPRESSION: 0.394373, 
uWaveGestureLibrary_X, PRDC_BASE: 0.355704, RECOMPRESSION: 0.377694, 
Wine, PRDC_BASE: 0.462346, RECOMPRESSION: 0.466667, 
FISH, PRDC_BASE: 0.253333, RECOMPRESSION: 0.215619, 
FordB, PRDC_BASE: 0.621012, RECOMPRESSION: 0.637541, 
UWaveGestureLibraryAll, PRDC_BASE: 0.272929, RECOMPRESSION: 0.332421, 
ArrowHead, PRDC_BASE: 0.587619, RECOMPRESSION: 0.554286, 
FordA, PRDC_BASE: 0.632056, RECOMPRESSION: 0.653587, 
Worms, PRDC_BASE: 0.40884, RECOMPRESSION: 0.453775, 
RefrigerationDevices, PRDC_BASE: 0.455556, RECOMPRESSION: 0.480356, 
ShapesAll, PRDC_BASE: 0.601, RECOMPRESSION: 0.596278, 
OliveOil, PRDC_BASE: 0.581111, RECOMPRESSION: 0.598889, 
wafer, PRDC_BASE: 0.951774, RECOMPRESSION: 0.959566, 
MALLAT, ERROR, 
SwedishLeaf, PRDC_BASE: 0.6432, RECOMPRESSION: 0.63968, 
ItalyPowerDemand, PRDC_BASE: 0.596599, RECOMPRESSION: 0.602203, 
Phoneme, ERROR, 
ScreenType, PRDC_BASE: 0.3736, RECOMPRESSION: 0.409867, 
Lighting2, PRDC_BASE: 0.699454, RECOMPRESSION: 0.663388, 
HandOutlines, PRDC_BASE: 0.641367, RECOMPRESSION: 0.627, 
ToeSegmentation2, PRDC_BASE: 0.708205, RECOMPRESSION: 0.693333, 
CinC_ECG_torso, PRDC_BASE: 0.468575, RECOMPRESSION: 0.549589, 
MedicalImages, PRDC_BASE: 0.487632, RECOMPRESSION: 0.495614, 
synthetic_control, PRDC_BASE: 0.313889, RECOMPRESSION: 0.321778, 
OSULeaf, PRDC_BASE: 0.455923, RECOMPRESSION: 0.480716, 
BeetleFly, PRDC_BASE: 0.786667, RECOMPRESSION: 0.71, 
FaceAll, PRDC_BASE: 0.292387, RECOMPRESSION: 0.289428, 
50words, ERROR, 
ProximalPhalanxTW, ERROR, 
