StarLightCurves, ORIGINAL_NMD: 0.840214, WEIGHTING_NMD: 0.848227
Meat, ORIGINAL_NMD: 0.883333, WEIGHTING_NMD: 0.883333
FacesUCR, ORIGINAL_NMD: 0.41122, WEIGHTING_NMD: 0.428293
NonInvasiveFatalECG_Thorax1, ORIGINAL_NMD: 0.517557, WEIGHTING_NMD: 0.518066
WormsTwoClass, ORIGINAL_NMD: 0.674033, WEIGHTING_NMD: 0.657459
MiddlePhalanxOutlineAgeGroup, ORIGINAL_NMD: 0.735, WEIGHTING_NMD: 0.715
NonInvasiveFatalECG_Thorax2, ORIGINAL_NMD: 0.61883, WEIGHTING_NMD: 0.607634
Plane, ORIGINAL_NMD: 0.961905, WEIGHTING_NMD: 0.961905
ECG5000, ORIGINAL_NMD: 0.899111, WEIGHTING_NMD: 0.902
SmallKitchenAppliances, ORIGINAL_NMD: 0.533333, WEIGHTING_NMD: 0.538667
TwoLeadECG, ORIGINAL_NMD: 0.86216, WEIGHTING_NMD: 0.843723
Lighting7, ORIGINAL_NMD: 0.589041, WEIGHTING_NMD: 0.616438
Cricket_X, ORIGINAL_NMD: 0.425641, WEIGHTING_NMD: 0.435897
WordsSynonyms, ORIGINAL_NMD: 0.330721, WEIGHTING_NMD: 0.316614
Coffee, ORIGINAL_NMD: 0.821429, WEIGHTING_NMD: 0.785714
Symbols, ORIGINAL_NMD: 0.757789, WEIGHTING_NMD: 0.749749
BirdChicken, ORIGINAL_NMD: 0.8, WEIGHTING_NMD: 0.85
MiddlePhalanxOutlineCorrect, ORIGINAL_NMD: 0.603333, WEIGHTING_NMD: 0.61
ProximalPhalanxOutlineCorrect, ORIGINAL_NMD: 0.714777, WEIGHTING_NMD: 0.725086
ToeSegmentation1, ORIGINAL_NMD: 0.723684, WEIGHTING_NMD: 0.732456
DistalPhalanxOutlineCorrect, ORIGINAL_NMD: 0.695, WEIGHTING_NMD: 0.698333
Beef, ORIGINAL_NMD: 0.566667, WEIGHTING_NMD: 0.6
Cricket_Z, ORIGINAL_NMD: 0.410256, WEIGHTING_NMD: 0.412821
SonyAIBORobotSurfaceII, ORIGINAL_NMD: 0.632739, WEIGHTING_NMD: 0.635887
MoteStrain, ORIGINAL_NMD: 0.740415, WEIGHTING_NMD: 0.736422
Car, ORIGINAL_NMD: 0.583333, WEIGHTING_NMD: 0.666667
InsectWingbeatSound, ORIGINAL_NMD: 0.178283, WEIGHTING_NMD: 0.182828
ChlorineConcentration, ORIGINAL_NMD: 0.547396, WEIGHTING_NMD: 0.541406
DistalPhalanxTW, ORIGINAL_NMD: 0.6875, WEIGHTING_NMD: 0.6975
uWaveGestureLibrary_Z, ORIGINAL_NMD: 0.45617, WEIGHTING_NMD: 0.45282
Haptics, ORIGINAL_NMD: 0.266234, WEIGHTING_NMD: 0.227273
ProximalPhalanxOutlineAgeGroup, ORIGINAL_NMD: 0.829268, WEIGHTING_NMD: 0.804878
FaceFour, ORIGINAL_NMD: 0.636364, WEIGHTING_NMD: 0.625
Earthquakes, ORIGINAL_NMD: 0.723602, WEIGHTING_NMD: 0.732919
Ham, ORIGINAL_NMD: 0.457143, WEIGHTING_NMD: 0.52381
Gun_Point, ORIGINAL_NMD: 0.866667, WEIGHTING_NMD: 0.86
Cricket_Y, ORIGINAL_NMD: 0.405128, WEIGHTING_NMD: 0.435897
Two_Patterns, ORIGINAL_NMD: 0.346, WEIGHTING_NMD: 0.393
