StarLightCurves, PRDC_BASE: 0.872499, RECOMPRESSION: 0.88991, ORIGINAL_NMD: 0.838392, WEIGHTING_NMD: 0.814109
Meat, PRDC_BASE: 0.741667, RECOMPRESSION: 0.613333, ORIGINAL_NMD: 0.833333, WEIGHTING_NMD: 0.85
FacesUCR, PRDC_BASE: 0.36478, RECOMPRESSION: 0.368976, ORIGINAL_NMD: 0.350732, WEIGHTING_NMD: 0.367317
NonInvasiveFatalECG_Thorax1, PRDC_BASE: 0.552519, RECOMPRESSION: 0.501374, ORIGINAL_NMD: 0.596438, WEIGHTING_NMD: 0.602036
WormsTwoClass, PRDC_BASE: 0.589503, RECOMPRESSION: 0.600552, ORIGINAL_NMD: 0.635359, WEIGHTING_NMD: 0.635359
MiddlePhalanxOutlineAgeGroup, PRDC_BASE: 0.71425, RECOMPRESSION: 0.7225, ORIGINAL_NMD: 0.695, WEIGHTING_NMD: 0.7075
NonInvasiveFatalECG_Thorax2, PRDC_BASE: 0.582188, RECOMPRESSION: 0.537964, ORIGINAL_NMD: 0.664631, WEIGHTING_NMD: 0.658015
Plane, PRDC_BASE: 0.865714, RECOMPRESSION: 0.879048, ORIGINAL_NMD: 0.933333, WEIGHTING_NMD: 0.952381
ECG5000, ERROR, ORIGINAL_NMD: 0.899333, WEIGHTING_NMD: 0.908222
SmallKitchenAppliances, PRDC_BASE: 0.523733, RECOMPRESSION: 0.578933, ORIGINAL_NMD: 0.52, WEIGHTING_NMD: 0.514667
TwoLeadECG, PRDC_BASE: 0.69482, RECOMPRESSION: 0.753556, ORIGINAL_NMD: 0.851624, WEIGHTING_NMD: 0.851624
Lighting7, PRDC_BASE: 0.450685, RECOMPRESSION: 0.427397, ORIGINAL_NMD: 0.506849, WEIGHTING_NMD: 0.39726
Cricket_X, PRDC_BASE: 0.419487, RECOMPRESSION: 0.384359, ORIGINAL_NMD: 0.466667, WEIGHTING_NMD: 0.451282
WordsSynonyms, ERROR, ORIGINAL_NMD: 0.297806, WEIGHTING_NMD: 0.315047
Coffee, PRDC_BASE: 0.592857, RECOMPRESSION: 0.610714, ORIGINAL_NMD: 0.75, WEIGHTING_NMD: 0.785714
Symbols, PRDC_BASE: 0.605126, RECOMPRESSION: 0.68, ORIGINAL_NMD: 0.861307, WEIGHTING_NMD: 0.857286
